National metadata,
Indicator available,Affordability of home ownership
Indicator description,Affordability of home ownership
National comparability,Comparable to other Local authorities
Unit of measurement,Ratio - house price to earnings
Definitions,"what data is being shown specifically, "
Calculations,Calculations performed on the dataset
Other information,"Any other info on the dataset, e.g. data control applied?"
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Affordability of home ownership
Use geocodes for mapping,FALSE
Indicator content,
Sources,
Source 1 organisation,Org name
Source 1 periodicity,Annual
Source 1 earliest available data,Initial datapoint
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://fingertips.phe.org.uk/search/affordability#page/4/gid/1/pat/6/par/E12000009/ati/102/are/E06000023/iid/93111/age/1/sex/4/cat/-1/ctp/-1/cid/4/tbm/1/page-options/car-do-0
Source 1 link to data source text,PHE Fingertips
Source 1 release date,05/05/2021
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,Contact details for those responsible for dataset ideally
Source 1 other information,Other info specific to this dataset
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 4 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
