Year,Units,Value
2020,Home (%),9.6
2020,Wore (%),7.5
2019,Home (%),12.7
2019,Wore (%),8.8
2018,Home (%),17.9
2018,Wore (%),13.7
2017,Home (%),17.6
2017,Wore (%),13.7
2016,Home (%),17.4
2016,Wore (%),16.4
2015,Home (%),11.6
2015,Wore (%),15
2014,Home (%),13.9
2014,Wore (%),12.7
2013,Home (%),11.9
2013,Wore (%),14.8
2012,Home (%),7.3
2012,Wore (%),11.3
2011,Home (%),16.4
2011,Wore (%),14.7
2010,Home (%),11.5
2010,Wore (%),17.8
2009,Home (%),19.4
2009,Wore (%),20.3
2008,Home (%),19.4
2008,Wore (%),18.4
2007,Home (%),21.4
2007,Wore (%),24.3
2006,Home (%),13.8
2006,Wore (%),16.8
2005,Home (%),20.2
2005,Wore (%),19.1
2004,Home (%),19.6
2004,Wore (%),20.7
2003,Home (%),15.8
2003,Wore (%),20.7
2002,Home (%),19.5
2002,Wore (%),24.9
2001,Wore (%),30.5
2000,Wore (%),32.6
1999,Wore (%),27.3
1998,Wore (%),27.6
1997,Wore (%),31.5
